"Activité","dep","export"
"Total","Total",1244644182.1
"Total","11",x
"Total","75",85210854.7
"Total","77",x
"Total","78",x
"Total","91",x
"Total","92",4463782.5
"Total","93",5694282.1
"Total","94",x
"Total","95",4172961.8
"Total","21",3373872.9
"Total","22",4479982.5
"Total","23",2827995.3
"Total","24",4879436.1
"Total","25",x
"Total","26",x
"Total","31",7491260.8
"Total","41",14547955.7
"Total","42",4712101.2
"Total","43",x
"Total","52",7991818.7
"Total","53",6561406.5
"Total","54",x
"Total","72",x
"Total","73",12273026.5
"Total","74",2870270.7
"Total","82",19810888.4
"Total","01",1611936.8
"Total","07",1064846.5
"Total","26",1545419.7
"Total","38",3750076.0
"Total","42",1467528.6
"Total","69",4962496.8
"Total","73",1357714.5
"Total","74",4050869.5
"Total","83",664066.7
"Total","91",72699864.8
"Total","93",137432559.2
"Total","04",218536.7
"Total","05",223533.5
"Total","06",131997737.5
"Total","13",2762715.0
"Total","83",1419891.8
"Total","84",810144.7
"Total","94",x
"C10","Total",x
"C10","11",-
"C10","75",-
"C10","77",-
"C10","78",-
"C10","91",-
"C10","92",-
"C10","93",-
"C10","94",-
"C10","95",-
"C10","21",-
"C10","22",-
"C10","23",-
"C10","24",-
"C10","25",-
"C10","26",x
"C10","31",-
"C10","41",-
"C10","42",-
"C10","43",-
"C10","52",-
"C10","53",-
"C10","54",-
"C10","72",x
"C10","73",-
"C10","74",-
"C10","82",-
"C10","01",-
"C10","07",-
"C10","26",-
"C10","38",-
"C10","42",-
"C10","69",-
"C10","73",-
"C10","74",-
"C10","83",-
"C10","91",-
"C10","93",-
"C10","04",-
"C10","05",-
"C10","06",-
"C10","13",-
"C10","83",-
"C10","84",-
"C10","94",-
"C103","Total",x
"C103","11",-
"C103","75",-
"C103","77",-
"C103","78",-
"C103","91",-
"C103","92",-
"C103","93",-
"C103","94",-
"C103","95",-
"C103","21",-
"C103","22",-
"C103","23",-
"C103","24",-
"C103","25",-
"C103","26",x
"C103","31",-
"C103","41",-
"C103","42",-
"C103","43",-
"C103","52",-
"C103","53",-
"C103","54",-
"C103","72",x
"C103","73",-
"C103","74",-
"C103","82",-
